provider,descriptive,use_columns,use_fewshot,model,easy_correct,medium_correct,hard_correct,extra_hard_correct,easy_executable,medium_executable,hard_executable,extra_hard_executable,total_correct,total_executable,easy_correct_percentage,medium_correct_percentage,hard_correct_percentage,extra_hard_correct_percentage,total_correct_executed,easy_correct_executed,medium_correct_executed,hard_correct_executed,extra_hard_correct_executed
groq,False,False,True,llama-3.3-70b-versatile,21,16,9,0,23,31,15,0,51,95,0.9130434782608695,0.47058823529411764,0.5294117647058824,0.0,0.5368421052631579,0.9130434782608695,0.5161290322580645,0.6,0
openai,False,False,True,gpt-4o,19,17,11,0,23,33,17,0,52,99,0.8260869565217391,0.5,0.6470588235294118,0.0,0.5252525252525253,0.8260869565217391,0.5151515151515151,0.6470588235294118,0
groq,False,False,True,gemma2-9b-it,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
groq,False,False,True,llama-3.1-8b-instant,14,9,5,0,19,26,6,0,29,60,0.6086956521739131,0.2647058823529412,0.29411764705882354,0.0,0.48333333333333334,0.7368421052631579,0.34615384615384615,0.8333333333333334,0
openai,False,True,True,gpt-4.1,18,21,13,0,23,34,17,0,63,100,0.782608695652174,0.6176470588235294,0.7647058823529411,0.0,0.63,0.782608695652174,0.6176470588235294,0.7647058823529411,0
openai,True,True,True,gpt-4o,21,20,16,0,23,34,17,0,62,100,0.9130434782608695,0.5882352941176471,0.9411764705882353,0.0,0.62,0.9130434782608695,0.5882352941176471,0.9411764705882353,0
groq,False,False,True,qwen-qwen3-32b,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
openai,True,True,True,gpt-4.1,17,20,15,0,23,34,17,0,57,100,0.7391304347826086,0.5882352941176471,0.8823529411764706,0.0,0.57,0.7391304347826086,0.5882352941176471,0.8823529411764706,0
groq,False,True,True,llama-3.3-70b-versatile,21,16,11,0,23,32,16,0,59,97,0.9130434782608695,0.47058823529411764,0.6470588235294118,0.0,0.6082474226804123,0.9130434782608695,0.5,0.6875,0
openai,False,True,True,gpt-4o,21,16,16,0,23,34,17,0,64,100,0.9130434782608695,0.47058823529411764,0.9411764705882353,0.0,0.64,0.9130434782608695,0.47058823529411764,0.9411764705882353,0
groq,True,True,True,llama-3.3-70b-versatile,19,18,13,0,23,32,16,0,54,96,0.8260869565217391,0.5294117647058824,0.7647058823529411,0.0,0.5625,0.8260869565217391,0.5625,0.8125,0
groq,False,False,True,deepseek-r1-distill-llama-70b,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
openai,False,False,True,gpt-4.1,20,18,12,0,23,33,17,0,55,99,0.8695652173913043,0.5294117647058824,0.7058823529411765,0.0,0.5555555555555556,0.8695652173913043,0.5454545454545454,0.7058823529411765,0
groq,False,False,True,compound-beta,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
groq,False,False,False,llama-3.3-70b-versatile,18,7,3,0,22,28,5,0,28,59,0.782608695652174,0.20588235294117646,0.17647058823529413,0.0,0.4745762711864407,0.8181818181818182,0.25,0.6,0
openai,False,False,False,gpt-4o,21,17,12,0,23,33,17,0,55,99,0.9130434782608695,0.5,0.7058823529411765,0.0,0.5555555555555556,0.9130434782608695,0.5151515151515151,0.7058823529411765,0
groq,False,False,False,gemma2-9b-it,10,3,1,0,10,4,2,0,15,18,0.43478260869565216,0.08823529411764706,0.058823529411764705,0.0,0.8333333333333334,1.0,0.75,0.5,0
groq,False,False,False,llama-3.1-8b-instant,14,6,1,0,19,16,3,0,21,40,0.6086956521739131,0.17647058823529413,0.058823529411764705,0.0,0.525,0.7368421052631579,0.375,0.3333333333333333,0
openai,False,True,False,gpt-4.1,18,19,17,0,23,34,17,0,59,100,0.782608695652174,0.5588235294117647,1.0,0.0,0.59,0.782608695652174,0.5588235294117647,1.0,0
openai,True,True,False,gpt-4o,19,20,16,0,23,34,17,0,60,100,0.8260869565217391,0.5882352941176471,0.9411764705882353,0.0,0.6,0.8260869565217391,0.5882352941176471,0.9411764705882353,0
groq,False,False,False,qwen-qwen3-32b,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
openai,True,True,False,gpt-4.1,17,22,13,0,23,34,17,0,59,100,0.7391304347826086,0.6470588235294118,0.7647058823529411,0.0,0.59,0.7391304347826086,0.6470588235294118,0.7647058823529411,0
groq,False,True,False,llama-3.3-70b-versatile,19,17,12,0,23,32,17,0,53,98,0.8260869565217391,0.5,0.7058823529411765,0.0,0.5408163265306123,0.8260869565217391,0.53125,0.7058823529411765,0
openai,False,True,False,gpt-4o,21,16,16,0,23,34,17,0,64,100,0.9130434782608695,0.47058823529411764,0.9411764705882353,0.0,0.64,0.9130434782608695,0.47058823529411764,0.9411764705882353,0
groq,True,True,False,llama-3.3-70b-versatile,19,17,11,0,23,34,16,0,52,99,0.8260869565217391,0.5,0.6470588235294118,0.0,0.5252525252525253,0.8260869565217391,0.5,0.6875,0
groq,False,False,False,deepseek-r1-distill-llama-70b,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
openai,False,False,False,gpt-4.1,19,13,13,0,22,28,17,0,50,87,0.8260869565217391,0.38235294117647056,0.7647058823529411,0.0,0.5747126436781609,0.8636363636363636,0.4642857142857143,0.7647058823529411,0
groq,False,False,False,compound-beta,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
groq,False,False,False,allam-2-7b,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
